service_id,date,exception_type
340946,20240503,1
308749,20240505,1
308746,20240506,1
341046,20240506,1
308746,20240507,1
340946,20240507,1
308846,20240508,1
340946,20240508,1
308846,20240509,1
340946,20240509,1
308846,20240510,1
340946,20240510,1
308749,20240512,1
308746,20240513,1
341046,20240513,1
308746,20240514,1
340946,20240514,1
308846,20240515,1
340946,20240515,1
308846,20240516,1
340946,20240516,1
308846,20240517,1
340946,20240517,1
308749,20240519,1
308746,20240520,1
341046,20240520,1
308746,20240521,1
340946,20240521,1
308846,20240522,1
340946,20240522,1
308846,20240523,1
340946,20240523,1
308846,20240524,1
340946,20240524,1
308849,20240526,1
308849,20240527,1
49,20240527,1
46,20240527,2
308846,20240528,1
340946,20240528,1
308846,20240529,1
340946,20240529,1
308846,20240530,1
340946,20240530,1
308846,20240531,1
340946,20240531,1
308749,20240602,1
308746,20240603,1
341046,20240603,1
308746,20240604,1
340946,20240604,1
308846,20240605,1
340946,20240605,1
308846,20240606,1
340946,20240606,1
308846,20240607,1
340946,20240607,1
308749,20240609,1
308746,20240610,1
341046,20240610,1
308746,20240611,1
340946,20240611,1
308846,20240612,1
340946,20240612,1
308846,20240613,1
340946,20240613,1
308846,20240614,1
340946,20240614,1
308055,20240225,1
308052,20240226,1
341252,20240226,1
308052,20240227,1
341352,20240227,1
308152,20240228,1
341352,20240228,1
308152,20240229,1
341352,20240229,1
308152,20240301,1
341352,20240301,1
308055,20240303,1
308052,20240304,1
341252,20240304,1
308052,20240305,1
341352,20240305,1
308152,20240306,1
341352,20240306,1
308152,20240307,1
341352,20240307,1
308152,20240308,1
341352,20240308,1
308055,20240310,1
308052,20240311,1
341252,20240311,1
308052,20240312,1
341352,20240312,1
308152,20240313,1
341352,20240313,1
308152,20240314,1
341352,20240314,1
308152,20240315,1
341352,20240315,1
308055,20240317,1
308152,20240318,1
341352,20240318,1
308152,20240319,1
341352,20240319,1
308152,20240320,1
341352,20240320,1
308152,20240321,1
341352,20240321,1
308152,20240322,1
341352,20240322,1
308155,20240324,1
308152,20240325,1
341352,20240325,1
308152,20240326,1
341352,20240326,1
308152,20240327,1
341352,20240327,1
308152,20240328,1
341352,20240328,1
308152,20240329,1
341352,20240329,1
308155,20240331,1
308152,20240401,1
341352,20240401,1
308152,20240402,1
341352,20240402,1
308152,20240403,1
341352,20240403,1
308152,20240404,1
341352,20240404,1
308152,20240405,1
341352,20240405,1
308155,20240407,1
308152,20240408,1
341352,20240408,1
308152,20240409,1
341352,20240409,1
308152,20240410,1
341352,20240410,1
308152,20240411,1
341352,20240411,1
308152,20240412,1
341352,20240412,1
308155,20240414,1
308152,20240415,1
341352,20240415,1
308152,20240416,1
341352,20240416,1
308152,20240417,1
341352,20240417,1
308152,20240418,1
341352,20240418,1
308152,20240419,1
