stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
28158,JEFRADSO,Jefferson Av & Radcliffe St,JEFFERSON AVE & CEDAR ST,40.099616,-74.847135,1,,,,,1
28161,RADWALSW,Radcliffe St & Walnut St - FS,RADCLIFFE ST & WALNUT ST,40.096422,-74.853136,1,,,,,1
28165,HENABTSE,Henry Av & Abbottsford Av - MBFS,HENRY AVE & US-1 S,40.010788,-75.181488,1,,,,,1
28166,WECVANNW,Weccacoe Av & Vandalia St,WECCACOE AVE & S 10TH ST,39.920292,-75.144737,1,,,,,1
28167,BATOTTNO,Bath St & Otter St - FS,BATH ST & MULBERRY ST,40.097465,-74.86076,1,,,,,1
28169,PAT7THWE,Pattison Av & 7th St,PATTISON AV & S LAWRENCE ST,39.903963,-75.162185,1,,,,,1
28170,7THPATNO,7th St & Pattison Av - MBFS,S 7TH ST & PATTISON AV,39.90646,-75.161715,1,,,,,1
28171,PAS28HWE,Passyunk Av & 28th St - MBNS,W PASSYUNK AVE & S 3RD ST,39.921445,-75.19255,1,,,,,1
28172,BATBUCNO,Bath St & Buckley St,BATH ST & BUCKLEY ST,40.099183,-74.861658,1,,,,,1
28173,BATHOWNO,Bath St & Howell St - MBFS,BATH RD,40.101286,-74.862801,1,,,,,1
28176,OLOFAYNW,Old Orchard Rd & Fayette Dr,OLD ORCHARD LN & FAYETTE DR,40.108226,-74.869859,1,,,,,1
28181,OXF59TNW,Oxford St & 59th St,W OXFORD ST & N 59TH ST,39.980491,-75.239279,1,,,,,1
28187,STARIVSW,State Rd & River Rd - FS,STATE RD & RIVER RD,40.096144,-74.876852,1,,,,,1
28188,STAMACSW,State Rd & Industrial Dr - FS,STATE RD & INDUSTRIAL AVE,40.093564,-74.882752,1,,,,,1
28190,STAGIRSW,State Rd & Girard Av,STATE RD & ELM AVE,40.091803,-74.888445,1,,,,,1
28193,STALITSW,State Rd & Linton Av,STATE RD & GRANT AVE,40.090193,-74.893829,1,,,,,1
28196,STAROSSW,State Rd & Rosa Av - FS,STATE RD & WASHINGTON AVE,40.088222,-74.900481,1,,,,,1
28198,STACEDSW,State Rd & Cedar Av,STATE RD & CEDAR AVE,40.087165,-74.903991,1,,,,,1
28199,LAN60TNW,Lancaster Av & 60th St,LANCASTER AVE & N 60TH ST,39.982787,-75.241328,1,,,,,1
28201,CEDMAINW,Cedar Av & Main Av,CEDAR AVE & MAIN ST,40.090233,-74.905507,1,,,,,1
28206,BRIGRASW,Bristol Pk & Gray Av,BRISTOL PIKE & GRAY AVE,40.093251,-74.916489,1,,,,,1
28208,BRIBENSW,Bristol Pk & Bensalem Blvd,BRISTOL PIKE & BENSALEM BLVD,40.091459,-74.923684,1,,,,,1
28209,BRIAPLSW,Bristol Pk & Appleton Av - MBFS,BRISTOL PIKE & APPLETON AVE,40.089116,-74.926919,1,,,,,1
28210,BRISTRSW,Bristol Pk & Street Rd - MBNS,BRISTOL PIKE & APPLETON AVE,40.085081,-74.933667,1,,,,,1
28218,BRIKINSW,Bristol Pk & Kings Av - FS,BRISTOL PIKE & KINGS AVE,40.075716,-74.956267,1,,,,,1
28219,BRIHULSW,Bristol Pk & Hulmeville Rd,BRISTOL PIKE & KINGS AVE,40.07519,-74.95879,1,,,,,1
28236,GALBRINO,Galloway Rd & Bristol Rd - MBNS,GALLOWAY RD & THUNDER CIR,40.13429,-74.943188,1,,,,,1
28238,NESBRISW,Neshaminy Blvd & Bristol Rd,NESHAMINY BLVD & BRISTOL RD,40.138886,-74.947621,1,,0,,,1
28241,GALTHUSO,Galloway Rd & Bristol Rd - MBFS,GALLOWAY RD & THUNDER CIR,40.134433,-74.943377,1,,,,,1
28242,GALRICSO,Galloway Rd & Richlieu Rd,GALLOWAY RD & RICHLIEU RD,40.131834,-74.94298,1,,,,,1
28258,BRIHULNE,Bristol Pk & Hulmeville Rd,BRISTOL PIKE & HULMEVILLE RD,40.074986,-74.958993,1,,,,,1
28260,BRISTNNE,Bristol Pk & Station Av,BRISTOL PIKE,40.076153,-74.953697,1,,,,,1
